categories,description,title,item_details
"[Homepage, Jewelry, Jewelry Sets]","Great pearl and rhinestone necklace and earrings set! Clear crystal rhinestones and pearls on necklace and earrings are a great statement piece! Bridal, prom, or eveninng! 
Size of Necklace: 16"" with 3"" chain extender
Size of decor drop: 1.25""
Size of earrings: 2"" Long. 
Color: clear rhinestone crystals and pearls
Base color: silver
Need a matching bracelet?
https://www.etsy.com/listing/571543818/crystal-and-pearl-wide-bracelet-pearl?ref=shop_home_active_31
https://www.etsy.com/listing/1101069361/crystal-and-pearl-bracelet-rhinestone?click_key=cfb25af8777dc7ec681e6bc26129ddc7be65f169%3A1101069361&click_sum=b654385d&ga_search_query=pearl&ref=shop_items_search_14&pro=1&frs=1&sts=1
https://www.etsy.com/listing/593908716/crystal-and-pearl-bracelet-bridal?click_key=d8cf24bc1794e895df21c2bbcda355b41c5d1102%3A593908716&click_sum=83b8a978&ga_search_query=pearl&ref=shop_items_search_24&pro=1&sts=1
Looking for the perfect pair of earrings for a special occasion. We specialize in custom work in fashion jewelry, pearls, and natural stones! Please feel free to browse through our other listings, and if you can't find what you are looking for just send us a message and will create the perfect piece for you.
www.desertrosedesigns.net
Expedited shipping available, just contact us!","pearl and rhinestone necklace, bridal pearl necklace, bridal crystal and pearl necklace, prom pearl necklace, evening necklace and earrings","[Jewelry type: Earrings, Necklace, Gift wrapping available 
 
 
 See details 
 
 
 
 
 Gift wrapping by DesertRoseDesigns10 
 We will wrap your gift in seasonal wrapping paper with a fun ornament!
Birthday wrapping also available! Just leave us a note on comments :)]"
"[Homepage, Jewelry, Earrings, Chandelier Earrings]","These fun and stylish emerald rhinestone crystal earrings are a great statement piece! Pageant, prom, or fitness competition ! 
Size of earrings: 2.25” Wide and 3.5” Long. 
Color: Emerald Green
Base Metal color: gold
Style: pierced 
More colors available! Just send us a message!
Looking for a matching bracelet? Browse through our listings or send us a message! :) 
https://www.etsy.com/listing/1325964300/
https://www.etsy.com/listing/1161641729/
https://www.etsy.com/listing/562630232/emerald-rhinestone-bracelet-emerald?ref=shop_home_active_59
https://www.etsy.com/listing/561987342/emerald-green-rhinestone-bracelet?ref=shop_home_active_34
Looking for the perfect pair of earrings for a special occasion. We specialize in custom work in fashion jewelry, pearls, and natural stones! Please feel free to browse through our other listings, and if you can’t find what you are looking for just send us a message and will create the perfect piece for you.
jewelry.desertrosedesigns.net","Extra large emerald rhinestone earrings, emerald green pageant earrings","[Made by   DesertRoseDesigns10, Closure: Push back, Length: 4.5 Inches, Gift wrapping available 
 
 
 See details 
 
 
 
 
 Gift wrapping by DesertRoseDesigns10 
 We will wrap your gift in seasonal wrapping paper with a fun ornament!
Birthday wrapping also available! Just leave us a note on comments :)]"
"[Homepage, Jewelry, Jewelry Sets]","Amethyst Purple necklace and earrings set
These fun and stylish large purple crystal rhinestone necklace and earrings are a great statement piece! Pageant, prom, or bridal! 
Necklace Size: 16"" and 3"" extension
Decor Dangle Length: 2""
Size of earrings: 2.25"" Long. 
Stye: Pierced and clip on setting available! Just select preference under the ""style"" tab 
Color: deep purple crystals
Base Metal color: Silver 
Looking for a matching bracelet?
https://www.etsy.com/listing/1523703113/
https://www.etsy.com/listing/1746386280/
More colors available upon request, just message us!
Looking for the perfect pair of earrings for a special occasion. We specialize in custom work in fashion jewelry, pearls, and natural stones! Please feel free to browse through our other listings, and if you can't find what you are looking for just send us a message and will create the perfect piece for you.
jewelry.desertrosedesigns.net
Expedited shipping available, just contact us!","amethyst purple necklace and earrings set, deep purple rhinestone necklace set","[Gift wrapping available 
 
 
 See details 
 
 
 
 
 Gift wrapping by DesertRoseDesigns10 
 We will wrap your gift in seasonal wrapping paper with a fun ornament!
Birthday wrapping also available! Just leave us a note on comments :)]"
"[Homepage, Jewelry, Earrings, Dangle & Drop Earrings]","These fun and stylish rhinestone multi color crystal heart earrings are a great accent piece! Pageant, prom, or fun fashion !
Size of earrings: 4.5 inches long
colors available: Multi color rhinestones, red and pink 
looking for a bracelet to complete your look? check out this matching bracelet! :)
https://www.etsy.com/listing/892648060/
https://www.etsy.com/listing/1170676455/
https://www.etsy.com/listing/702336861/multi-color-bracelet-fuchsia-multi-color?ref=shop_home_active_109&pro=1&frs=1
https://www.etsy.com/listing/702336499/multi-color-bracelet-multi-color-cuff?ga_search_query=multi&ref=shop_items_search_3&pro=1&frs=1
https://www.etsy.com/listing/688482578/multi-color-crystal-bracelet-multi-color?ref=shop_home_active_80&pro=1&frs=1
https://www.etsy.com/listing/538148439/hot-pink-crystal-bracelet-large-crystal?ref=shop_home_active_71
Looking for the perfect pair of earrings for a special occasion. We specialize in custom work in fashion jewelry, pearls, and natural stones! Please feel free to browse through our other listings, and if you can’t find what you are looking for just send us a message and will create the perfect piece for you.
jewelry.desertrosedesings.net
Expedited shipping available, just contact us!","Pink and red long earrings, red and pink valentines earrings, extra long pink red rhinestone earrings","[Made by   DesertRoseDesigns10, Location: Earlobe, Drop length: 4.5 Inches, Gift wrapping available 
 
 
 See details 
 
 
 
 
 Gift wrapping by DesertRoseDesigns10 
 We will wrap your gift in seasonal wrapping paper with a fun ornament!
Birthday wrapping also available! Just leave us a note on comments :)]"
"[Homepage, Jewelry, Earrings, Dangle & Drop Earrings]","Purple rhinestone earrings
These fun and stylish purple crystal rhinestone earrings are a great statement piece! Pageant, prom, or evening!
This earrings would also work great for interview!
Size of earrings: 0.60"" Wide and 2.25"" Long.
Color: Purple/Amethyst (More colors available upon request!)
Base Metal Color: gold
Style: Pierced and clip on available, just select preference under the ""Style"" Tab
Great bridal accent! Receive 10% off the purchase of 3 or more. Just use coupon code: 10off
Looking for a matching bracelet?
https://www.etsy.com/listing/677411631/purple-bracelet-purple-rhinestone?ref=shop_home_active_88&pro=1&frs=1
https://www.etsy.com/listing/730975077/purple-bracelet-amethyst-purple-bridal?ref=shop_home_active_119&pro=1&frs=1
Https://www.etsy.com/listing/578864673/purple-bracelet-purple-rhinestone?ref=shop_home_active_16
https://www.etsy.com/listing/580846256/purple-rhinestone-bracelet-amethyst?ref=shop_home_active_56
Looking for the perfect pair of earrings for a special occasion. We specialize in custom work in fashion jewelry, pearls, and natural stones! Please feel free to browse through our other listings, and if you can't find what you are looking for just send us a message and will create the perfect piece for you.
jewelry.desertrosedesigns.net
Expedited shipping available, just contact us!","Amethyst purple earrings, deep purple crystal earrings","[Made by   DesertRoseDesigns10, Drop length: 2.25 Inches, Gift wrapping available 
 
 
 See details 
 
 
 
 
 Gift wrapping by DesertRoseDesigns10 
 We will wrap your gift in seasonal wrapping paper with a fun ornament!
Birthday wrapping also available! Just leave us a note on comments :)]"
"[Homepage, Jewelry, Earrings, Clip-On Earrings]","These fun and stylish red crystal rhinestone earrings are a great statement piece!
Size of earrings: 1.25” Wide  and 2.75” Long. 
Color: red
Base metal: gold
Style: pierced and clip on available!
More colors available upon request, just message us!
Looking for a matching bracelet?
https://www.etsy.com/listing/538148439/red-crystal-bracelet-large-crystal?ref=shop_home_active_33
Looking for the perfect pair of earrings for a special occasion. We specialize in custom work in fashion jewelry, pearls, and natural stones! Please feel free to browse through our other listings, and if you can’t find what you are looking for just send us a message and will create the perfect piece for you.
jewelry.desertrosedesigns.net
Expedited shipping available, just contact us!","Red rhinestone earrings, red holiday earrings, red crystal clip on earrings","[Made by   DesertRoseDesigns10, Location: Earlobe, Closure: Clip-on, Gift wrapping available 
 
 
 See details 
 
 
 
 
 Gift wrapping by DesertRoseDesigns10 
 We will wrap your gift in seasonal wrapping paper with a fun ornament!
Birthday wrapping also available! Just leave us a note on comments :)]"
"[Homepage, Jewelry, Earrings, Dangle & Drop Earrings]","These fun and stylish rhinestone long earrings with fuchsia ab crystals are a great statement piece! Pageant, prom, or bridal! 
Size of earrings: .50” Wide and 1.5” Long. 
colors available: fuchsia ab and clear rhinestones 
looking for a bracelet to complete your look? check out this matching bracelet! :)
https://www.etsy.com/listing/1607584673/
https://www.etsy.com/listing/1509751284/
https://www.etsy.com/listing/1421940158/
https://www.etsy.com/listing/607744629/fuchsia-bracelet-hot-pink-bracelet?ref=shop_home_active_15
Looking for the perfect pair of earrings for a special occasion. We specialize in custom work in fashion jewelry, pearls, and natural stones! Please feel free to browse through our other listings, and if you can’t find what you are looking for just send us a message and will create the perfect piece for you.
jewelry.desertrosedesings.net
Expedited shipping available, just contact us!","Fuchsia ab dangle earrings, fuchsia iridescent earrings, hot pink iridescent prom earrings","[Made by   DesertRoseDesigns10, Gift wrapping available 
 
 
 See details 
 
 
 
 
 Gift wrapping by DesertRoseDesigns10 
 We will wrap your gift in seasonal wrapping paper with a fun ornament!
Birthday wrapping also available! Just leave us a note on comments :)]"
"[Homepage, Jewelry, Earrings, Dangle & Drop Earrings]","These fun and stylish emerald rhinestone crystal earrings are a great statement piece! Pageant, prom, or bridal! 
Size of earrings: .75” Wide and 1.75” Long. 
Color: Emerald Green
Base Metal color: gold
Style: pierced 
More colors available! Just send us a message!
Looking for a matching bracelet? Browse through our listings or send us a message! :) 
https://www.etsy.com/listing/562630232/emerald-rhinestone-bracelet-emerald?ref=shop_home_active_59
https://www.etsy.com/listing/561987342/emerald-green-rhinestone-bracelet?ref=shop_home_active_34
https://www.etsy.com/listing/621708283/emerald-bracelet-emerald-rhinestone?ref=shop_home_active_13
Looking for the perfect pair of earrings for a special occasion. We specialize in custom work in fashion jewelry, pearls, and natural stones! Please feel free to browse through our other listings, and if you can’t find what you are looking for just send us a message and will create the perfect piece for you.
jewelry.desertrosedesigns.net","emerald rhinestone dangle earrings, emerald green bridal earrings","[Made by   DesertRoseDesigns10, Gift wrapping available 
 
 
 See details 
 
 
 
 
 Gift wrapping by DesertRoseDesigns10 
 We will wrap your gift in seasonal wrapping paper with a fun ornament!
Birthday wrapping also available! Just leave us a note on comments :)]"
"[Homepage, Jewelry, Earrings, Clip-On Earrings]","These fun and stylish emerald rhinestone crystal earrings are a great statement piece! Pageant, prom, or fitness competition ! 
Size of earrings: 1.25” Wide and 3.5” Long. 
Color: Emerald Green
Base Metal color: gold
Style: clip on  
More colors available! Just send us a message!
Looking for a matching bracelet? Browse through our listings or send us a message! :) 
https://www.etsy.com/listing/1325964300/
https://www.etsy.com/listing/1161641729/
https://www.etsy.com/listing/562630232/emerald-rhinestone-bracelet-emerald?ref=shop_home_active_59
https://www.etsy.com/listing/561987342/emerald-green-rhinestone-bracelet?ref=shop_home_active_34
Looking for the perfect pair of earrings for a special occasion. We specialize in custom work in fashion jewelry, pearls, and natural stones! Please feel free to browse through our other listings, and if you can’t find what you are looking for just send us a message and will create the perfect piece for you.
jewelry.desertrosedesigns.net","Emerald long clip on earrings, emerald pageant clip on earrings","[Made by   DesertRoseDesigns10, Closure: Clip-on, Gift wrapping available 
 
 
 See details 
 
 
 
 
 Gift wrapping by DesertRoseDesigns10 
 We will wrap your gift in seasonal wrapping paper with a fun ornament!
Birthday wrapping also available! Just leave us a note on comments :)]"
"[Homepage, Jewelry, Jewelry Sets]","Great large rhinestone necklace and earrings set! Clear crystal rhinestones on necklace and earrings are a great statement piece! Pageant, prom, or bridal! 
Size of Necklace: 15” with 2.5” chain extender
Size of decor drop: 1.5”
Size of earrings: 2.75” Long. 
Color: clear rhinestones
Base color: silver
More colors available upon request, just message us!
Looking for a matching bracelet?
https://www.etsy.com/listing/600792630/clear-rhinestone-bracelet-rhinestone?ref=shop_home_active_40
https://www.etsy.com/listing/586281881/bridal-crystal-rhinestone-bracelet?ref=shop_home_active_34
https://www.etsy.com/listing/562121949/clear-rhinestone-bracelet-rhinestone?ref=shop_home_active_21
https://www.etsy.com/listing/569692815/rhinestone-stretch-bracelet-clear?ref=shop_home_active_20
Looking for the perfect pair of earrings for a special occasion. We specialize in custom work in fashion jewelry, pearls, and natural stones! Please feel free to browse through our other listings, and if you can’t find what you are looking for just send us a message and will create the perfect piece for you.
jewelry.desertrosedesigns.net
Expedited shipping available, just contact us!","Crystal rhinestone necklace and earrings set, bridal necklace and earrings set, clear crystal wedding necklace","[Made by   DesertRoseDesigns10, Jewelry type: Earrings, Necklace, Gift wrapping available 
 
 
 See details 
 
 
 
 
 Gift wrapping by DesertRoseDesigns10 
 We will wrap your gift in seasonal wrapping paper with a fun ornament!
Birthday wrapping also available! Just leave us a note on comments :)]"
"[Homepage, Accessories, Pins & Clips, Brooches]","Oversized rhinestone crystal brooch, 5.5""",Reserved Listing - Custom order brooch,"[Made to Order, Gift wrapping available 
 
 
 See details 
 
 
 
 
 Gift wrapping by DesertRoseDesigns10 
 We will wrap your gift in seasonal wrapping paper with a fun ornament!
Birthday wrapping also available! Just leave us a note on comments :)]"
"[Homepage, Jewelry, Earrings, Dangle & Drop Earrings]","These fun and stylish rhinestone hot pink rhinestone earrings are a great accent piece! Pageant, prom, or bridal! 
Size of earrings: 1"" Wide and 4"" Long. 
colors available: Black Rhinestones
Style: pierced setting
Need a matching bracelet?
https://www.etsy.com/listing/1642301053/
www.etsy.com/listing/614302959/black-bracelet-black-rhinestone-bracelet?
...
www.etsy.com/listing/611051149/black-rhinestone-bracelet-black-teardrop?
...
www.etsy.com/listing/550147426/black-rhinestone-bracelet-black-crystal?r
...
Looking for the perfect pair of earrings for a special occasion. We specialize in custom work in fashion jewelry, pearls, and natural stones! Please feel free to browse through our other listings, and if you can't find what you are looking for just send us a message and will create the perfect piece for you.
jewelry.desertrosedesings.net","Long black chandelier earrings, black rhinestone evening earrings, black pageant earrings","[Made by   DesertRoseDesigns10, Drop length: 4 Inches, Gift wrapping available 
 
 
 See details 
 
 
 
 
 Gift wrapping by DesertRoseDesigns10 
 We will wrap your gift in seasonal wrapping paper with a fun ornament!
Birthday wrapping also available! Just leave us a note on comments :)]"
"[Homepage, Jewelry, Rings, Statement Rings]","Beautiful light  purple ring  with large rhinestone crystals, great statement piece! Great accent piece for the holidays! Pageant, prom, or ballroom! 
Size: 1” wide 
Style: stretch/ one size 
color: lavender purple rhinestones
Base metal color: silver
Matching earrings:
https://www.etsy.com/listing/1052791645/
more colors available upon request!
Looking for matching earrings? Browse through our listings or send us a message! :) 
https://www.etsy.com/listing/1463477680/
https://www.etsy.com/listing/1549011240/
https://www.etsy.com/listing/1588212889/
Looking for the perfect pair of earrings for a special occasion. We specialize in custom work in fashion jewelry, pearls, and natural stones! Please feel free to browse through our other listings, and if you can’t find what you are looking for just send us a message and will create the perfect piece for you.
jewelry.desertrosedesings.net
Expedited shipping available, just contact us! Need a matching bracelet? :)
https://www.etsy.com/listing/1461837369/
https://www.etsy.com/listing/771809664/lavender-purple-bracelet-light-purple?ref=shop_home_active_1&frs=1","Lavender rhinestone ring, light purple stretch ring, lilac cocktail ring","[Made by   DesertRoseDesigns10, Gift wrapping available 
 
 
 See details 
 
 
 
 
 Gift wrapping by DesertRoseDesigns10 
 We will wrap your gift in seasonal wrapping paper with a fun ornament!
Birthday wrapping also available! Just leave us a note on comments :)]"
"[Homepage, Accessories, Hair Accessories, Decorative Hair Combs]","Blue/ green and clear rhinestone crystals 
Hair comb","blue green hair comb, blue ab rhinestone hair comb","[Gift wrapping available 
 
 
 See details 
 
 
 
 
 Gift wrapping by DesertRoseDesigns10 
 We will wrap your gift in seasonal wrapping paper with a fun ornament!
Birthday wrapping also available! Just leave us a note on comments :)]"
"[Homepage, Jewelry, Jewelry Sets]",Necklace and earrings set,"Fuchsia ab prom necklace and earrings set, hot pink iridescent necklace set","[Made by   DesertRoseDesigns10, Gift wrapping available 
 
 
 See details 
 
 
 
 
 Gift wrapping by DesertRoseDesigns10 
 We will wrap your gift in seasonal wrapping paper with a fun ornament!
Birthday wrapping also available! Just leave us a note on comments :)]"
"[Homepage, Jewelry, Bracelets, Beaded Bracelets]","Orange rhinestone bracelet
Size: .50” wide
Color: orange crystals
Stretch band
Looking for matching earrings?
https://www.etsy.com/listing/675987904/
https://www.etsy.com/listing/1229804152/
https://www.etsy.com/listing/1187310813/
https://www.etsy.com/listing/702339457/orange-earrings-orange-prom-earrings?ref=shop_home_active_3&crt=1
Looking for the perfect pair of earrings for a special occasion. We specialize in custom work in fashion jewelry, pearls, and natural stones! Please feel free to browse through our other listings, and if you can’t find what you are looking for just send us a message and will create the perfect piece for you.
jewelry.desertrosedesigns.net
Expedited shipping available, just contact us!","Orange rhinestone bracelet, orange prom bracelet","[Made by   DesertRoseDesigns10, Gift wrapping available 
 
 
 See details 
 
 
 
 
 Gift wrapping by DesertRoseDesigns10 
 We will wrap your gift in seasonal wrapping paper with a fun ornament!
Birthday wrapping also available! Just leave us a note on comments :)]"
"[Homepage, Jewelry, Earrings, Dangle & Drop Earrings]","orange pink earrings
Length: 2.75 inches long",orange pink dangle earrings,"[Gift wrapping available 
 
 
 See details 
 
 
 
 
 Gift wrapping by DesertRoseDesigns10 
 We will wrap your gift in seasonal wrapping paper with a fun ornament!
Birthday wrapping also available! Just leave us a note on comments :)]"
"[Homepage, Jewelry, Bracelets, Beaded Bracelets]","Deep purple rhinestone bracelet
Beautiful purple bracelet with rhinestone crystals, great statement piece! Great accent piece for the holidays! Pageant, prom, or bridal! 
Size: .70"" wide 
Style: stretch bracelet
color:purple/amethyst rhinestones
Base metal color: silver
more colors available upon request!
Looking for matching earrings? Browse through our listings or send us a message! :) 
https://www.etsy.com/listing/700518594/purple-earrings-purple-prom-earrings?click_key=49faae47d3161593e3025602a391876ebbafae74%3A700518594&click_sum=29f4621d&ga_search_query=purple&ref=shop_items_search_52&sts=1
https://www.etsy.com/listing/1499718377/amethyst-purple-earrings-chunky-purple?click_key=395e9d636db756c905713531149b298e440cfced%3A1499718377&click_sum=13474dca&ga_search_query=purple&ref=shop_items_search_37&frs=1&sts=1
https://www.etsy.com/listing/1457514521/amethyst-purple-rhinestone-earrings-deep?click_key=f7e2b1804a886b5f01a5acffb27bcb0035f541aa%3A1457514521&click_sum=1fe49481&ga_search_query=purple&ref=shop_items_search_1&crt=1&sts=1
Looking for the perfect pair of earrings for a special occasion. We specialize in custom work in fashion jewelry, pearls, and natural stones! Please feel free to browse through our other listings, and if you can't find what you are looking for just send us a message and will create the perfect piece for you.
jewelry.desertrosedesings.net
Expedited shipping available, just contact us!","Amethyst purple bracelet, deep purple stretch bracelet, purple ballroom bracelet","[Made by   DesertRoseDesigns10, Bracelet width: .70 Inches, Gift wrapping available 
 
 
 See details 
 
 
 
 
 Gift wrapping by DesertRoseDesigns10 
 We will wrap your gift in seasonal wrapping paper with a fun ornament!
Birthday wrapping also available! Just leave us a note on comments :)]"
"[Homepage, Jewelry, Earrings, Dangle & Drop Earrings]","amethyst purple earrings
These fun and stylish amethyst purple crystal rhinestone earrings are a great statement piece! Pageant, prom, or bridal! 
Size of earrings: 1"" Wide and 4.25"" Long. 
Style: Pierced and Clip On Available!
Matching bracelet:
https://www.etsy.com/listing/1523703113/amethyst-purple-bracelet-deep-purple?click_key=be78882e0f5f3031483169b7b924ef397e590883%3A1523703113&click_sum=3605b5c2&ga_search_query=amethyst&ref=shop_items_search_7&sts=1
https://www.etsy.com/listing/1746386280/deep-purple-rhinestone-bracelet-amethyst?click_key=7a818f603d2acf6f137c78f7c83c92a187e92780%3A1746386280&click_sum=dd6a098f&ga_search_query=purple&ref=shop_items_search_5&frs=1&sts=1
Looking for the perfect pair of earrings for a special occasion. We specialize in custom work in fashion jewelry, pearls, and natural stones! Please feel free to browse through our other listings, and if you can't find what you are looking for just send us a message and will create the perfect piece for you.
jewelry.desertrosedesigns.net
Expedited shipping available, just contact us!",purple amethyst long earrings,"[Made by   DesertRoseDesigns10, Gift wrapping available 
 
 
 See details 
 
 
 
 
 Gift wrapping by DesertRoseDesigns10 
 We will wrap your gift in seasonal wrapping paper with a fun ornament!
Birthday wrapping also available! Just leave us a note on comments :)]"
"[Homepage, Jewelry, Earrings, Stud Earrings]","Red rhinestone earrings
These fun and stylish red crystal rhinestone earrings are a great statement piece! Pageant, prom, or evening! 
Size of earrings: 1” Wide and 1” Long. 
color available: Red and AB crystals
Style: pierced
More colors available upon request, just message us!
Need a matching bracelet?
https://www.etsy.com/listing/811054360/
https://www.etsy.com/listing/569699193/red-rhinestone-bracelet-red-stretch?ref=shop_home_active_44
Looking for the perfect pair of earrings for a special occasion. We specialize in custom work in fashion jewelry, pearls, and natural stones! Please feel free to browse through our other listings, and if you can’t find what you are looking for just send us a message and will create the perfect piece for you.
www.desertrosedesigns.net
Expedited shipping available, just contact us!","Red ab prom stud earrings, large red iridescent studs","[Made by   DesertRoseDesigns10, Location: Earlobe, Length: 1 Inches, Gift wrapping available 
 
 
 See details 
 
 
 
 
 Gift wrapping by DesertRoseDesigns10 
 We will wrap your gift in seasonal wrapping paper with a fun ornament!
Birthday wrapping also available! Just leave us a note on comments :)]"
"[Homepage, Jewelry, Earrings, Stud Earrings]","Blue oversized stud earrings
These fun and stylish rhinestone blue earrings with large crystals are a great statement piece! Pageant, prom, or bridal! 
Size of earrings: 1” Wide and 1” Long. 
Color: Royal Blue 
 gold base metal color
more colors available!
just check our listings or message us!
looking for a matching bracelet? check out bracelet listings!
https://www.etsy.com/listing/1513907957/
https://www.etsy.com/listing/594523565/blue-rhinestone-bracelet-royal-blue?ref=shop_home_active_1
https://etsy.me/346UqqG
https://etsy.me/2xdKKK7
Looking for the perfect pair of earrings for a special occasion. We specialize in custom work in fashion jewelry, pearls, and natural stones! Please feel free to browse through our other listings, and if you can’t find what you are looking for just send us a message and will create the perfect piece for you.
www.desertrosedesings.net
Expedited shipping available, just contact us!","Blue rhinestone stud earrings, cobalt prom studs","[Made by   DesertRoseDesigns10, Closure: Push back, Length: 1 Inches, Gift wrapping available 
 
 
 See details 
 
 
 
 
 Gift wrapping by DesertRoseDesigns10 
 We will wrap your gift in seasonal wrapping paper with a fun ornament!
Birthday wrapping also available! Just leave us a note on comments :)]"
"[Homepage, Jewelry, Earrings, Dangle & Drop Earrings]","Pink opal earrings
T hese fun and stylish aurora borealis rhinestone earrings are a great accent piece! Pageant, prom, or bridal!
Size of earrings: 1"" Wide and 2"" Long.
colors available: light pink/ pink opal  rhinestones
base metal color: gold
more colors available! please feel free to browse through our listings or message us!
looking for a bracelet to complete your look? check out this matching bracelet!
https://www.etsy.com/listing/701908031/pink-bracelet-pink-prom-bracelet-pink?ref=shop_home_active_45&frs=1
https://www.etsy.com/listing/690752461/pink-bracelet-rose-pink-bracelet-rose?ref=shop_home_active_114&frs=1
Looking for the perfect pair of earrings for a special occasion. We specialize in custom work in fashion jewelry, pearls, and natural stones! Please feel free to browse through our other listings, and if you can't find what you are looking for just send us a message and will create the perfect piece for you.
jewelry.desertrosedesings.net
Expedited shipping available, just contact us!","Pink opal earrings, pink opal rhinestone earrings, rose opal bridal earrings, blush earrings","[Made by   DesertRoseDesigns10, Location: Earlobe, Gift wrapping available 
 
 
 See details 
 
 
 
 
 Gift wrapping by DesertRoseDesigns10 
 We will wrap your gift in seasonal wrapping paper with a fun ornament!
Birthday wrapping also available! Just leave us a note on comments :)]"
"[Homepage, Jewelry, Earrings, Stud Earrings]",Red heart stud earrings,Heart stud earrings,"[Made by   DesertRoseDesigns10, Location: Earlobe, Gift wrapping available 
 
 
 See details 
 
 
 
 
 Gift wrapping by DesertRoseDesigns10 
 We will wrap your gift in seasonal wrapping paper with a fun ornament!
Birthday wrapping also available! Just leave us a note on comments :)]"
"[Homepage, Accessories, Hair Accessories, Decorative Hair Combs]","Ab rhinestone comb
Length: 4""
Metal color: gold and silver available, please select preference under the ""secondary color"" tab","ab rhinestone comb, large iridescent hair comb","[Made by   DesertRoseDesigns10, Gift wrapping available 
 
 
 See details 
 
 
 
 
 Gift wrapping by DesertRoseDesigns10 
 We will wrap your gift in seasonal wrapping paper with a fun ornament!
Birthday wrapping also available! Just leave us a note on comments :)]"
"[Homepage, Jewelry, Earrings, Dangle & Drop Earrings]","Light blue dangle earrings
These fun and stylish rhinestone baby blue rhinestone earrings are a great accent piece! Pageant, prom, or bridal! 
Size of earrings: 3.25 inches long
colors available: Light blue
Base metal color: Silver
style: pierced and clip on available!
looking for a bracelet to complete your look? check out this matching bracelet! :)
Looking for the perfect pair of earrings for a special occasion. We specialize in custom work in fashion jewelry, pearls, and natural stones! Please feel free to browse through our other listings, and if you can't find what you are looking for just send us a message and will create the perfect piece for you.
jewelry.desertrosedesings.net
Expedited shipping available, just contact us!","Light blue long earrings, ice blue earrings, baby blue rhinestone earrings","[Made by   DesertRoseDesigns10, Location: Earlobe, Gift wrapping available 
 
 
 See details 
 
 
 
 
 Gift wrapping by DesertRoseDesigns10 
 We will wrap your gift in seasonal wrapping paper with a fun ornament!
Birthday wrapping also available! Just leave us a note on comments :)]"
"[Homepage, Jewelry, Earrings, Clip-On Earrings]","These fun and stylish gold rhinestone crystal earrings are a great statement piece! Pageant, prom, or ballroom! 
Size of earrings: 1.25"" Wide and 1.8"" Long. 
Color: Emerald Green
Base Metal color: gold
Style: clip on setting 
More colors available! Just send us a message!
Looking for a matching bracelet? Browse through our listings or send us a message! :) 
https://www.etsy.com/listing/562630232/emerald-rhinestone-bracelet-emerald?ref=shop_home_active_59
https://www.etsy.com/listing/561987342/emerald-green-rhinestone-bracelet?ref=shop_home_active_34
https://www.etsy.com/listing/621708283/emerald-bracelet-emerald-rhinestone?ref=shop_home_active_13
Looking for the perfect pair of earrings for a special occasion. We specialize in custom work in fashion jewelry, pearls, and natural stones! Please feel free to browse through our other listings, and if you can't find what you are looking for just send us a message and will create the perfect piece for you.
jewelry.desertrosedesigns.net","Emerald rhinestone clip on earrings, statement emerald stud clip earrings, dark green large stud clip on earrings","[Made by   DesertRoseDesigns10, Closure: Clip-on, Gift wrapping available 
 
 
 See details 
 
 
 
 
 Gift wrapping by DesertRoseDesigns10 
 We will wrap your gift in seasonal wrapping paper with a fun ornament!
Birthday wrapping also available! Just leave us a note on comments :)]"
"[Homepage, Jewelry, Earrings, Dangle & Drop Earrings]","Fuchsia and navy blue long rhinestone earrings
Color: fuchsia and navy blue rhinestones
Size: 4.5 inches long
Style: pierced and clip on available!","Fuchsia and navy long earrings, pink and blue earrings, hot pink and navy prom earrings","[Made by   DesertRoseDesigns10, Drop length: 4.5 Inches, Gift wrapping available 
 
 
 See details 
 
 
 
 
 Gift wrapping by DesertRoseDesigns10 
 We will wrap your gift in seasonal wrapping paper with a fun ornament!
Birthday wrapping also available! Just leave us a note on comments :)]"
"[Homepage, Jewelry, Jewelry Sets]","These fun and stylish large crystal rhinestone necklace and earrings are a great statement piece! Pageant, prom, or bridal! 
Necklace Size: 16"" and 3"" extension
Decor Dangle Length: 1.25""
Size of earrings: 1.75"" Long. 
Looking for a matching bracelet?
https://www.etsy.com/listing/600792630/clear-rhinestone-bracelet-rhinestone?ref=shop_home_active_40
https://www.etsy.com/listing/586281881/bridal-crystal-rhinestone-bracelet?ref=shop_home_active_34
https://www.etsy.com/listing/556673735/crystal-wide-bracelet-royal-blue?ref=shop_home_active_23
https://www.etsy.com/listing/597696505/large-crystal-bracelet-wide-clear?ref=shop_home_active_18
More colors available upon request, just message us!
Looking for the perfect pair of earrings for a special occasion. We specialize in custom work in fashion jewelry, pearls, and natural stones! Please feel free to browse through our other listings, and if you can't find what you are looking for just send us a message and will create the perfect piece for you.
jewelry.desertrosedesigns.net
Expedited shipping available, just contact us!","bridal necklace set, bridal crystal necklace and earrings set, clear rhinestone necklace and earrings, evening necklace set, prom necklace","[Made by   DesertRoseDesigns10, Jewelry type: Earrings, Necklace, Jewelry style: Victorian, Gift wrapping available 
 
 
 See details 
 
 
 
 
 Gift wrapping by DesertRoseDesigns10 
 We will wrap your gift in seasonal wrapping paper with a fun ornament!
Birthday wrapping also available! Just leave us a note on comments :)]"
